 Ano, Código da IES*,Nome da IES*, Sigla da IES*, Organização Acadêmica*, Categoria Administrativa, Sigla da UF, Nº de Cursos com CPC no triênio, Alfa (Proporção de Graduação), Conceito Médio de Graduação, Beta (Proporção de Mestrado - Equivalente), Conceito Médio de Mestrado, Gama (Proporção de Doutorandos – Equivalente), Conceito Médio do doutorado, IGC (Contínuo), IGC (Faixa),TX_OBS
2021,1350.0,FACULDADE DO VALE DO JAGUARIBE,FVJ,Faculdade,Privada com fins lucrativos,CE,10.0,1.0,2.277,0.0,0.0,0.0,0.0,2.277,3,
2021,1351.0,CENTRO UNIVERSITÁRIO SOCIESC,,Centro Universitário,Privada com fins lucrativos,SC,28.0,1.0,3.401,0.0,0.0,0.0,0.0,3.401,4,
2021,1355.0,FACULDADES INTEGRADAS DE JAHU,FIJ,Faculdade,Privada sem fins lucrativos,SP,10.0,1.0,2.617,0.0,0.0,0.0,0.0,2.617,3,
2021,1356.0,CENTRO UNIVERSITÁRIO DE SANTA FÉ DO SUL,UNIFUNEC,Centro Universitário,Pública Municipal,SP,14.0,1.0,2.795,0.0,0.0,0.0,0.0,2.795,3,
2021,1359.0,FACULDADE MULTIVIX NOVA VENÉCIA,MULTIVIX NOVA VENÉCI,Faculdade,Privada com fins lucrativos,ES,9.0,1.0,3.544,0.0,0.0,0.0,0.0,3.544,4,
2021,1362.0,Centro Universitário Governador Ozanam Coelho,UNIFAGOC,Centro Universitário,Privada com fins lucrativos,MG,10.0,1.0,2.78,0.0,0.0,0.0,0.0,2.78,3,
2021,1363.0,FACULDADE VISCONDE DE CAIRÚ,FAVIC,Faculdade,Privada sem fins lucrativos,BA,7.0,1.0,2.487,0.0,0.0,0.0,0.0,2.487,3,
2021,1364.0,CENTRO UNIVERSIÁRIO UNIFTC,,Centro Universitário,Privada com fins lucrativos,BA,12.0,1.0,3.233,0.0,0.0,0.0,0.0,3.233,4,
2021,1365.0,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,Centro Universitário,Privada sem fins lucrativos,SP,38.0,0.983,2.881,0.016,4.0,0.0,0.0,2.9,3,
2021,1373.0,FACULDADE CASA BRANCA,FACAB,Faculdade,Privada com fins lucrativos,SP,1.0,1.0,3.267,0.0,0.0,0.0,0.0,3.267,4,
2021,1374.0,FACULDADE DE GUARANTÃ DO NORTE, UNIFAMA,Faculdade,Privada com fins lucrativos,MT,4.0,1.0,2.691,0.0,0.0,0.0,0.0,2.691,3,
2021,1375.0,FACULDADE CATÓLICA RAINHA DA PAZ DE ARAPUTANGA,FCARP,Faculdade,Privada sem fins lucrativos,MT,5.0,1.0,2.069,0.0,0.0,0.0,0.0,2.069,3,
2021,1379.0,Centro Universitário FAESA,,Centro Universitário,Privada sem fins lucrativos,ES,13.0,1.0,3.32,0.0,0.0,0.0,0.0,3.32,4,
2021,1381.0,Faculdade Martha Falcão Wyden,FMF Wyden,Faculdade,Privada com fins lucrativos,AM,19.0,1.0,2.775,0.0,0.0,0.0,0.0,2.775,3,
2021,1382.0,Faculdades EST,EST,Faculdade,Privada sem fins lucrativos,RS,2.0,0.222,3.564,0.429,4.403,0.348,5.0,4.424,5,
2021,1383.0,FACULDADE NOVO HORIZONTE DE IPOJUCA,FNH,Faculdade,Privada sem fins lucrativos,PE,2.0,1.0,1.823,0.0,0.0,0.0,0.0,1.823,2,
2021,1384.0,FACULDADE SANTA HELENA,FSH,Faculdade,Privada sem fins lucrativos,PE,3.0,1.0,3.023,0.0,0.0,0.0,0.0,3.023,4,
2021,1386.0,FACULDADE ESAMC CAMPINAS,ESAMC,Faculdade,Privada com fins lucrativos,SP,21.0,1.0,2.163,0.0,0.0,0.0,0.0,2.163,3,
2021,1387.0,FACULDADE PENTÁGONO - FAPEN,FAPEN,Faculdade,Privada com fins lucrativos,SP,3.0,1.0,2.596,0.0,0.0,0.0,0.0,2.596,3,
